"import_id","id","empid","age","agegroup","attrition","businesstravel","dailyrate","department","distancefromhome","education","educationfield","employeecount","employeenumber","environmentsatisfaction","gender","hourlyrate","jobinvolvement","joblevel","jobrole","jobsatisfaction","maritalstatus","monthlyincome","salaryslab","monthlyrate","numcompaniesworked","over18","overtime","percentsalaryhike","performancerating","relationshipsatisfaction","standardhours","stockoptionlevel","totalworkingyears","trainingtimeslastyear","worklifebalance","yearsatcompany","yearsincurrentrole","yearssincelastpromotion","yearswithcurrmanager","managertenuremissing","attritionflag","tenuregroup","ishighearner","longcommute","salarymin","salarymax"
"19","19","657","20","NULL","0","Travel_Rarely","959","Research & Development","1","3","Life Sciences","1","657","4","Female","83","2","1","Research Scientist","2","NULL","2836","5000.0000","11757","1","1","0","0.1300","3","4","80","0","1.0000","0","0.0400","1","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"20","20","701","20","NULL","1","Travel_Rarely","1362","Research & Development","10","1","Medical","1","701","4","Male","32","3","1","Research Scientist","3","NULL","1009","5000.0000","26999","1","1","1","0.1100","3","4","80","0","1.0000","5","0.0300","1","0","1","1","0","1","NULL","0","0","5000.0000","5000.0000"
"21","21","922","20","NULL","1","Travel_Rarely","500","Sales","2","3","Medical","1","922","3","Female","49","2","1","Sales Representative","3","NULL","2044","5000.0000","22052","1","1","0","0.1300","3","4","80","0","2.0000","3","0.0200","2","2","0","2","0","1","NULL","0","0","5000.0000","5000.0000"
"22","22","960","20","NULL","1","Travel_Rarely","129","Research & Development","4","3","Technical Degree","1","960","1","Male","84","3","1","Laboratory Technician","1","NULL","2973","5000.0000","13008","1","1","0","0.1900","3","2","80","0","1.0000","2","0.0300","1","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"23","23","1016","20","NULL","1","Travel_Rarely","1097","Research & Development","11","3","Medical","1","1016","4","Female","98","2","1","Research Scientist","1","NULL","2600","5000.0000","18275","1","1","1","0.1500","3","1","80","0","1.0000","2","0.0300","1","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"24","24","1077","20","NULL","1","Travel_Frequently","769","Sales","9","3","Marketing","1","1077","4","Female","54","3","1","Sales Representative","4","NULL","2323","5000.0000","17205","1","1","1","0.1400","3","2","80","0","2.0000","3","0.0300","2","2","0","2","0","1","NULL","0","0","5000.0000","5000.0000"
"25","25","1198","20","NULL","0","Travel_Rarely","805","Research & Development","3","3","Life Sciences","1","1198","1","Male","87","2","1","Laboratory Technician","3","NULL","3033","5000.0000","12828","1","1","0","0.1200","3","1","80","0","2.0000","2","0.0200","2","2","1","2","0","0","NULL","0","0","5000.0000","5000.0000"
"26","26","1226","20","NULL","0","Travel_Rarely","654","Sales","21","3","Marketing","1","1226","3","Male","43","4","1","Sales Representative","4","NULL","2678","5000.0000","5050","1","1","0","0.1700","3","4","80","0","2.0000","2","0.0300","2","1","2","2","0","0","NULL","0","0","5000.0000","5000.0000"
"27","27","1657","20","NULL","0","Travel_Rarely","1141","Sales","2","3","Medical","1","1657","3","Female","31","3","1","Sales Representative","3","NULL","2783","5000.0000","13251","1","1","0","0.1900","3","1","80","0","2.0000","3","0.0300","2","2","2","2","0","0","NULL","0","0","5000.0000","5000.0000"
"28","28","1680","20","NULL","0","Travel_Rarely","727","Sales","9","1","Life Sciences","1","1680","4","Male","54","3","1","Sales Representative","1","NULL","2728","5000.0000","21082","1","1","0","0.1100","3","1","80","0","2.0000","3","0.0300","2","2","0","2","0","0","NULL","0","0","5000.0000","5000.0000"
"29","29","30","21","NULL","0","Travel_Rarely","391","Research & Development","15","2","Life Sciences","1","30","3","Male","96","3","1","Research Scientist","4","NULL","1232","5000.0000","19281","1","1","0","0.1400","3","4","80","0","0.0000","6","0.0300","0","0","0","3","1","0","NULL","0","0","5000.0000","5000.0000"
"30","30","379","21","NULL","0","Travel_Rarely","996","Research & Development","3","2","Medical","1","379","4","Male","100","2","1","Research Scientist","3","NULL","3230","5000.0000","10531","1","1","0","0.1700","3","1","80","0","3.0000","4","0.0400","3","2","1","0","0","0","NULL","0","0","5000.0000","5000.0000"
"31","31","478","21","NULL","1","Travel_Frequently","756","Sales","1","1","Technical Degree","1","478","1","Female","99","2","1","Sales Representative","2","NULL","2174","5000.0000","9150","1","1","1","0.1100","3","3","80","0","3.0000","3","0.0300","3","2","1","2","0","1","NULL","0","0","5000.0000","5000.0000"
"32","32","484","21","NULL","0","Non-Travel","895","Sales","9","2","Medical","1","484","1","Male","39","3","1","Sales Representative","4","NULL","2610","5000.0000","2851","1","1","0","0.2400","4","3","80","0","3.0000","3","0.0200","3","2","2","3","1","0","NULL","0","0","5000.0000","5000.0000"
"33","33","494","21","NULL","1","Travel_Rarely","156","Sales","12","3","Life Sciences","1","494","3","Female","90","4","1","Sales Representative","2","NULL","2716","5000.0000","25422","1","1","0","0.1500","3","4","80","0","1.0000","0","0.0300","1","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"34","34","669","21","NULL","0","Travel_Rarely","1343","Sales","22","1","Technical Degree","1","669","3","Male","49","3","1","Sales Representative","3","NULL","3447","5000.0000","24444","1","1","0","0.1100","3","3","80","0","3.0000","2","0.0300","3","2","1","2","0","0","NULL","0","0","5000.0000","5000.0000"
"35","35","923","21","NULL","1","Travel_Rarely","1427","Research & Development","18","1","Other","1","923","4","Female","65","3","1","Research Scientist","4","NULL","2693","5000.0000","8870","1","1","0","0.1900","3","1","80","0","1.0000","3","0.0200","1","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"36","36","1079","21","NULL","1","Travel_Rarely","1334","Research & Development","10","3","Life Sciences","1","1079","3","Female","36","2","1","Laboratory Technician","1","NULL","1416","5000.0000","17258","1","1","0","0.1300","3","1","80","0","1.0000","6","0.0200","1","0","1","0","0","1","NULL","0","0","5000.0000","5000.0000"
"37","37","1131","21","NULL","0","Travel_Rarely","984","Research & Development","1","1","Technical Degree","1","1131","4","Female","70","2","1","Research Scientist","2","NULL","2070","5000.0000","25326","1","1","1","0.1100","3","3","80","0","2.0000","6","0.0400","2","2","2","2","0","0","NULL","0","0","5000.0000","5000.0000"
"38","38","1279","21","NULL","1","Travel_Frequently","251","Research & Development","10","2","Life Sciences","1","1279","1","Female","45","2","1","Laboratory Technician","3","NULL","2625","5000.0000","25308","1","1","0","0.2000","4","3","80","0","2.0000","2","0.0100","2","2","2","2","0","1","NULL","0","0","5000.0000","5000.0000"
"39","39","1623","21","NULL","0","Travel_Rarely","546","Research & Development","5","1","Medical","1","1623","3","Male","97","3","1","Research Scientist","4","NULL","3117","5000.0000","26009","1","1","0","0.1800","3","3","80","0","3.0000","2","0.0300","2","2","2","2","0","0","NULL","0","0","5000.0000","5000.0000"
"40","40","1780","21","NULL","1","Travel_Rarely","337","Sales","7","1","Marketing","1","1780","2","Male","31","3","1","Sales Representative","2","NULL","2679","5000.0000","4567","1","1","0","0.1300","3","2","80","0","1.0000","3","0.0300","1","0","1","0","0","1","NULL","0","0","5000.0000","5000.0000"
"41","41","2021","21","NULL","0","Travel_Rarely","501","Sales","5","1","Medical","1","2021","3","Male","58","3","1","Sales Representative","1","NULL","2380","5000.0000","25479","1","1","1","0.1100","3","4","80","0","2.0000","6","0.0300","2","2","1","2","0","0","NULL","0","0","5000.0000","5000.0000"
"42","42","22","22","NULL","0","Non-Travel","1123","Research & Development","16","2","Medical","1","22","4","Male","96","4","1","Laboratory Technician","4","NULL","2935","5000.0000","7324","1","1","1","0.1300","3","2","80","2","1.0000","2","0.0200","1","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"43","43","144","22","NULL","0","Travel_Rarely","534","Research & Development","15","3","Medical","1","144","2","Female","59","3","1","Laboratory Technician","4","NULL","2871","5000.0000","23785","1","1","0","0.1500","3","3","80","0","1.0000","5","0.0300","0","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"44","44","169","22","NULL","0","Travel_Rarely","594","Research & Development","2","1","Technical Degree","1","169","3","Male","100","3","1","Laboratory Technician","4","NULL","2523","5000.0000","19299","0","1","0","0.1400","3","3","80","1","3.0000","2","0.0300","2","1","2","1","0","0","NULL","0","0","5000.0000","5000.0000"
"45","45","217","22","NULL","0","Travel_Rarely","1256","Research & Development","19","1","Medical","1","217","3","Male","80","3","1","Research Scientist","4","NULL","2323","5000.0000","11992","1","1","0","0.2400","4","1","80","2","2.0000","6","0.0300","2","2","2","2","0","0","NULL","0","0","5000.0000","5000.0000"
"46","46","284","22","NULL","0","Travel_Rarely","1136","Research & Development","5","3","Life Sciences","1","284","4","Male","60","4","1","Research Scientist","2","NULL","2328","5000.0000","12392","1","1","1","0.1600","3","1","80","1","4.0000","2","0.0200","4","2","2","3","1","0","NULL","0","0","5000.0000","5000.0000"
"47","47","511","22","NULL","0","Travel_Rarely","253","Research & Development","11","3","Medical","1","511","1","Female","43","3","1","Research Scientist","2","NULL","2244","5000.0000","24440","1","1","0","0.1300","3","4","80","1","2.0000","1","0.0300","2","1","1","2","0","0","NULL","0","0","5000.0000","5000.0000"
"48","48","593","22","NULL","1","Travel_Frequently","1368","Research & Development","4","1","Technical Degree","1","593","3","Male","99","2","1","Laboratory Technician","3","NULL","3894","5000.0000","9129","5","1","0","0.1600","3","3","80","0","4.0000","3","0.0300","2","2","1","2","0","1","NULL","0","0","5000.0000","5000.0000"
"49","49","675","22","NULL","0","Travel_Rarely","604","Research & Development","6","1","Medical","1","675","1","Male","69","3","1","Research Scientist","3","NULL","2773","5000.0000","12145","0","1","0","0.2000","4","4","80","0","3.0000","3","0.0300","2","2","2","2","0","0","NULL","0","0","5000.0000","5000.0000"
"50","50","872","22","NULL","0","Travel_Rarely","1230","Research & Development","1","2","Life Sciences","1","872","4","Male","33","2","2","Manufacturing Director","4","NULL","4775","5000.0000","19146","6","1","0","0.2200","4","1","80","2","4.0000","2","0.0100","2","2","2","2","0","0","NULL","0","0","5000.0000","5000.0000"
"51","51","926","22","NULL","1","Travel_Rarely","617","Research & Development","3","1","Life Sciences","1","926","2","Female","34","3","2","Manufacturing Director","3","NULL","4171","5000.0000","10022","0","1","1","0.1900","3","1","80","1","4.0000","3","0.0400","3","2","0","2","0","1","NULL","0","0","5000.0000","5000.0000"
"52","52","1019","22","NULL","0","Travel_Rarely","217","Research & Development","8","1","Life Sciences","1","1019","2","Male","94","1","1","Laboratory Technician","1","NULL","2451","5000.0000","6881","1","1","0","0.1500","3","1","80","1","4.0000","3","0.0200","4","3","1","1","0","0","NULL","0","0","5000.0000","5000.0000"
"53","53","1203","22","NULL","1","Travel_Frequently","1256","Research & Development","3","4","Life Sciences","1","1203","3","Male","48","2","1","Research Scientist","4","NULL","2853","5000.0000","4223","0","1","1","0.1100","3","2","80","1","1.0000","5","0.0300","0","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"54","54","1605","22","NULL","0","Non-Travel","457","Research & Development","26","2","Other","1","1605","2","Female","85","2","1","Research Scientist","3","NULL","2814","5000.0000","10293","1","1","1","0.1400","3","2","80","0","4.0000","2","0.0200","4","2","1","3","0","0","NULL","0","0","5000.0000","5000.0000"
"55","55","1783","22","NULL","1","Travel_Rarely","1294","Research & Development","8","1","Medical","1","1783","3","Female","79","3","1","Laboratory Technician","1","NULL","2398","5000.0000","15999","1","1","1","0.1700","3","3","80","0","1.0000","6","0.0300","1","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"56","56","1878","22","NULL","1","Travel_Rarely","391","Research & Development","7","1","Life Sciences","1","1878","4","Male","75","3","1","Research Scientist","2","NULL","2472","5000.0000","26092","1","1","1","0.2300","4","1","80","0","1.0000","2","0.0300","1","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"57","57","2007","22","NULL","0","Travel_Rarely","581","Research & Development","1","2","Life Sciences","1","2007","4","Male","63","3","1","Research Scientist","3","NULL","3375","5000.0000","17624","0","1","0","0.1200","3","4","80","0","4.0000","2","0.0400","3","2","1","2","0","0","NULL","0","0","5000.0000","5000.0000"
"58","58","113","23","NULL","0","Travel_Rarely","541","Sales","2","1","Technical Degree","1","113","3","Male","62","3","1","Sales Representative","1","NULL","2322","5000.0000","9518","3","1","0","0.1300","3","3","80","1","3.0000","3","0.0300","0","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"59","59","465","23","NULL","0","Travel_Rarely","1309","Research & Development","26","1","Life Sciences","1","465","3","Male","83","3","1","Research Scientist","4","NULL","2904","5000.0000","16092","1","1","0","0.1200","3","3","80","2","4.0000","2","0.0200","4","2","0","2","0","0","NULL","0","0","5000.0000","5000.0000"
"60","60","705","23","NULL","0","Travel_Rarely","885","Research & Development","4","3","Medical","1","705","1","Male","58","4","1","Research Scientist","1","NULL","2819","5000.0000","8544","2","1","0","0.1600","3","1","80","1","5.0000","3","0.0400","3","2","0","2","0","0","NULL","0","0","5000.0000","5000.0000"
"61","61","758","23","NULL","0","Travel_Rarely","650","Research & Development","9","1","Medical","1","758","2","Male","37","3","1","Laboratory Technician","1","NULL","2500","5000.0000","4344","1","1","0","0.1400","3","4","80","1","5.0000","2","0.0400","4","3","0","2","0","0","NULL","0","0","5000.0000","5000.0000"
"62","62","784","23","NULL","0","Travel_Rarely","310","Research & Development","10","1","Medical","1","784","1","Male","79","4","1","Research Scientist","3","NULL","3505","5000.0000","19630","1","1","0","0.1800","3","4","80","0","2.0000","3","0.0300","2","2","0","2","0","0","NULL","0","0","5000.0000","5000.0000"
"63","63","811","23","NULL","1","Travel_Rarely","1243","Research & Development","6","3","Life Sciences","1","811","3","Male","63","4","1","Laboratory Technician","1","NULL","1601","5000.0000","3445","1","1","1","0.2100","4","3","80","2","1.0000","2","0.0300","0","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"64","64","1270","23","NULL","0","Travel_Rarely","373","Research & Development","1","2","Life Sciences","1","1270","4","Male","47","3","1","Research Scientist","3","NULL","1223","5000.0000","16901","1","1","0","0.2200","4","4","80","1","1.0000","2","0.0300","1","0","0","1","0","0","NULL","0","0","5000.0000","5000.0000"
"65","65","1533","23","NULL","0","Travel_Rarely","507","Research & Development","20","1","Life Sciences","1","1533","1","Male","97","3","2","Laboratory Technician","3","NULL","2272","5000.0000","24812","0","1","0","0.1400","3","2","80","0","5.0000","2","0.0300","4","3","1","2","0","0","NULL","0","0","5000.0000","5000.0000"
"66","66","1592","23","NULL","0","Travel_Rarely","977","Research & Development","10","3","Technical Degree","1","1592","4","Male","45","4","1","Research Scientist","3","NULL","2073","5000.0000","12826","2","1","0","0.1600","3","4","80","1","4.0000","2","0.0300","2","2","2","2","0","0","NULL","0","0","5000.0000","5000.0000"
"67","67","1684","23","NULL","1","Travel_Rarely","1320","Research & Development","8","1","Medical","1","1684","4","Male","93","2","1","Laboratory Technician","3","NULL","3989","5000.0000","20586","1","1","1","0.1100","3","1","80","0","5.0000","2","0.0300","5","4","1","2","0","1","NULL","0","0","5000.0000","5000.0000"
"68","68","1702","23","NULL","1","Travel_Rarely","427","Sales","7","3","Life Sciences","1","1702","3","Male","99","3","1","Sales Representative","4","NULL","2275","5000.0000","25103","1","1","1","0.2100","4","2","80","1","3.0000","2","0.0300","3","2","0","2","0","1","NULL","0","0","5000.0000","5000.0000"
"69","69","1735","23","NULL","0","Travel_Rarely","160","Research & Development","4","1","Medical","1","1735","3","Female","51","3","1","Laboratory Technician","2","NULL","3295","5000.0000","12862","1","1","0","0.1300","3","3","80","0","3.0000","3","0.0100","3","2","1","2","0","0","NULL","0","0","5000.0000","5000.0000"
"70","70","1982","23","NULL","0","Travel_Rarely","571","Research & Development","12","2","Other","1","1982","4","Male","78","3","1","Laboratory Technician","4","NULL","2647","5000.0000","13672","1","1","0","0.1300","3","3","80","0","5.0000","6","0.0400","5","2","1","4","0","0","NULL","0","0","5000.0000","5000.0000"
"71","71","2023","23","NULL","1","Travel_Frequently","638","Sales","9","3","Marketing","1","2023","4","Male","33","3","1","Sales Representative","1","NULL","1790","5000.0000","26956","1","1","0","0.1900","3","1","80","1","1.0000","3","0.0200","1","0","1","0","0","1","NULL","0","0","5000.0000","5000.0000"
"72","72","26","24","NULL","0","Non-Travel","673","Research & Development","11","2","Other","1","26","1","Female","96","4","2","Manufacturing Director","3","NULL","4011","5000.0000","8232","0","1","0","0.1800","3","4","80","1","5.0000","5","0.0200","4","2","1","3","0","0","NULL","0","0","5000.0000","5000.0000"
"73","73","45","24","NULL","1","Travel_Rarely","813","Research & Development","1","3","Medical","1","45","2","Male","61","3","1","Research Scientist","4","NULL","2293","5000.0000","3020","2","1","1","0.1600","3","1","80","1","6.0000","2","0.0200","2","0","2","0","0","1","NULL","0","0","5000.0000","5000.0000"
"74","74","128","24","NULL","0","Travel_Rarely","1353","Sales","3","2","Other","1","128","1","Female","33","3","2","Sales Executive","3","NULL","4999","5000.0000","17519","0","1","0","0.2100","4","1","80","1","4.0000","2","0.0200","3","2","0","2","0","0","NULL","1","0","5000.0000","5000.0000"
"75","75","150","24","NULL","0","Travel_Rarely","1127","Research & Development","18","1","Life Sciences","1","150","2","Male","52","3","1","Laboratory Technician","3","NULL","2774","5000.0000","13257","0","1","0","0.1200","3","3","80","1","6.0000","2","0.0300","5","3","1","2","0","0","NULL","0","0","5000.0000","5000.0000"
"76","76","507","24","NULL","0","Travel_Rarely","1371","Sales","10","4","Marketing","1","507","4","Female","77","3","2","Sales Executive","3","NULL","4260","5000.0000","5915","1","1","1","0.1200","3","4","80","1","5.0000","2","0.0400","5","2","0","3","0","0","NULL","0","0","5000.0000","5000.0000"
"77","77","554","24","NULL","1","Travel_Rarely","1448","Sales","1","1","Technical Degree","1","554","1","Female","62","3","1","Sales Representative","2","NULL","3202","5000.0000","21972","1","1","1","0.1600","3","2","80","0","6.0000","4","0.0300","5","3","1","4","0","1","NULL","0","0","5000.0000","5000.0000"
"78","78","632","24","NULL","0","Travel_Frequently","535","Sales","24","3","Medical","1","632","4","Male","38","3","1","Sales Representative","4","NULL","2400","5000.0000","5530","0","1","0","0.1300","3","3","80","2","3.0000","3","0.0300","2","2","2","1","0","0","NULL","0","0","5000.0000","5000.0000"
"79","79","639","24","NULL","0","Travel_Rarely","691","Research & Development","23","3","Medical","1","639","2","Male","89","4","1","Research Scientist","4","NULL","2725","5000.0000","21630","1","1","1","0.1100","3","2","80","2","6.0000","3","0.0300","6","5","1","4","0","0","NULL","0","0","5000.0000","5000.0000"
"80","80","643","24","NULL","0","Travel_Rarely","823","Research & Development","17","2","Other","1","643","4","Male","94","2","1","Laboratory Technician","2","NULL","2127","5000.0000","9100","1","1","0","0.2100","4","4","80","1","1.0000","2","0.0300","1","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"81","81","647","24","NULL","1","Travel_Frequently","1287","Research & Development","7","3","Life Sciences","1","647","1","Female","55","3","1","Laboratory Technician","3","NULL","2886","5000.0000","14168","1","1","1","0.1600","3","4","80","1","6.0000","4","0.0300","6","3","1","2","0","1","NULL","0","0","5000.0000","5000.0000"
"82","82","720","24","NULL","1","Travel_Rarely","693","Sales","3","2","Life Sciences","1","720","1","Female","65","3","2","Sales Executive","3","NULL","4577","5000.0000","24785","9","1","0","0.1400","3","1","80","0","4.0000","3","0.0300","2","2","2","0","0","1","NULL","0","0","5000.0000","5000.0000"
"83","83","812","24","NULL","0","Non-Travel","1092","Research & Development","9","3","Life Sciences","1","812","3","Male","60","2","1","Laboratory Technician","2","NULL","2694","5000.0000","26551","1","1","0","0.1100","3","3","80","3","1.0000","4","0.0300","1","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"84","84","888","24","NULL","0","Non-Travel","1269","Research & Development","4","1","Life Sciences","1","888","1","Male","46","2","1","Laboratory Technician","4","NULL","3162","5000.0000","10778","0","1","0","0.1700","3","4","80","0","6.0000","2","0.0200","5","2","3","4","0","0","NULL","0","0","5000.0000","5000.0000"
"85","85","1009","24","NULL","0","Travel_Rarely","1206","Research & Development","17","1","Medical","1","1009","4","Female","41","2","2","Manufacturing Director","3","NULL","4377","5000.0000","24117","1","1","0","0.1500","3","2","80","2","5.0000","6","0.0300","4","2","3","2","0","0","NULL","0","0","5000.0000","5000.0000"
"86","86","1173","24","NULL","0","Travel_Rarely","477","Research & Development","24","3","Medical","1","1173","4","Male","49","3","1","Laboratory Technician","2","NULL","3597","5000.0000","6409","8","1","0","0.2200","4","4","80","0","6.0000","2","0.0300","4","3","1","2","0","0","NULL","0","0","5000.0000","5000.0000"
"87","87","1219","24","NULL","1","Travel_Rarely","984","Research & Development","17","2","Life Sciences","1","1219","4","Female","97","3","1","Laboratory Technician","2","NULL","2210","5000.0000","3372","1","1","0","0.1300","3","1","80","1","1.0000","3","0.0100","1","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"88","88","1445","24","NULL","0","Travel_Rarely","1476","Sales","4","1","Medical","1","1445","4","Female","42","3","2","Sales Executive","3","NULL","4162","5000.0000","15211","1","1","1","0.1200","3","3","80","2","5.0000","3","0.0300","5","4","0","3","0","0","NULL","0","0","5000.0000","5000.0000"
"89","89","1494","24","NULL","1","Travel_Frequently","381","Research & Development","9","3","Medical","1","1494","2","Male","89","3","1","Laboratory Technician","1","NULL","3172","5000.0000","16998","2","1","1","0.1100","3","3","80","0","4.0000","2","0.0200","0","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"90","90","1495","24","NULL","0","Non-Travel","830","Sales","13","2","Life Sciences","1","1495","4","Female","78","3","1","Sales Representative","2","NULL","2033","5000.0000","7103","1","1","0","0.1300","3","3","80","1","1.0000","2","0.0300","1","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"91","91","1551","24","NULL","0","Travel_Rarely","350","Research & Development","21","2","Technical Degree","1","1551","3","Male","57","2","1","Laboratory Technician","1","NULL","2296","5000.0000","10036","0","1","0","0.1400","3","2","80","3","2.0000","3","0.0300","1","1","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
